showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0111161,The Shawshank Redemption,Movie,1994,1994,142 min,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",9.3,3175959,1,0,https://www.imdb.com/title/tt0111161/
tt0468569,The Dark Knight,Movie,2008,2008,152 min,"Action,Crime,Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",9.1,3155324,2,0,https://www.imdb.com/title/tt0468569/
tt1375666,Inception,Movie,2010,2010,148 min,"Action,Adventure,Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy",8.8,2804960,3,0,https://www.imdb.com/title/tt1375666/
tt0944947,Game of Thrones,TV Show,2011,2019,60 min,"Action,Adventure,Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey, Sophie Turner",9.2,2602061,4,0,https://www.imdb.com/title/tt0944947/
tt0903747,Breaking Bad,TV Show,2008,2013,48 min,"Crime,Drama,Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, RJ Mitte",9.5,2596925,5,0,https://www.imdb.com/title/tt0903747/
tt0137523,Fight Club,Movie,1999,1999,139 min,"Crime,Drama,Thriller","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette",8.8,2593969,6,0,https://www.imdb.com/title/tt0137523/
tt0816692,Interstellar,Movie,2014,2014,169 min,"Adventure,Drama,Sci-Fi","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn",8.7,2509529,7,0,https://www.imdb.com/title/tt0816692/
tt0109830,Forrest Gump,Movie,1994,1994,142 min,"Drama,Romance","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams",8.8,2486733,8,0,https://www.imdb.com/title/tt0109830/
tt0110912,Pulp Fiction,Movie,1994,1994,154 min,"Crime,Drama","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth",8.8,2426800,9,0,https://www.imdb.com/title/tt0110912/
tt0133093,The Matrix,Movie,1999,1999,136 min,"Action,Sci-Fi","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",8.7,2239074,10,0,https://www.imdb.com/title/tt0133093/
tt0068646,The Godfather,Movie,1972,1972,175 min,"Crime,Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano",9.2,2218556,11,0,https://www.imdb.com/title/tt0068646/
tt0120737,The Lord of the Rings: The Fellowship of the Ring,Movie,2001,2001,178 min,"Adventure,Drama,Fantasy","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard",8.9,2199062,12,0,https://www.imdb.com/title/tt0120737/
tt0167260,The Lord of the Rings: The Return of the King,Movie,2003,2003,201 min,"Adventure,Drama,Fantasy","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby",9.0,2157436,13,0,https://www.imdb.com/title/tt0167260/
tt0114369,Seven,Movie,1995,1995,127 min,"Crime,Drama,Mystery","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa",8.6,2012339,14,0,https://www.imdb.com/title/tt0114369/
tt1345836,The Dark Knight Rises,Movie,2012,2012,164 min,"Action,Crime,Drama","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Joseph Gordon-Levitt",8.4,1986756,15,0,https://www.imdb.com/title/tt1345836/
tt0167261,The Lord of the Rings: The Two Towers,Movie,2002,2002,179 min,"Adventure,Drama,Fantasy","Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress",8.8,1950067,16,0,https://www.imdb.com/title/tt0167261/
tt1853728,Django Unchained,Movie,2012,2012,165 min,"Drama,Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",8.5,1875629,17,0,https://www.imdb.com/title/tt1853728/
tt0172495,Gladiator,Movie,2000,2000,155 min,"Action,Adventure,Drama","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris",8.5,1842093,18,0,https://www.imdb.com/title/tt0172495/
tt0993846,The Wolf of Wall Street,Movie,2013,2013,180 min,"Biography,Comedy,Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler",8.2,1778531,19,0,https://www.imdb.com/title/tt0993846/
tt0361748,Inglourious Basterds,Movie,2009,2009,153 min,"Adventure,Drama,War","Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent, Christoph Waltz",8.4,1775462,20,0,https://www.imdb.com/title/tt0361748/
